keyword,title,creator,abstract,year,publisher,subject,item_url
ayyubid,Breaching the bronze wall : Franks at Mamluk and Ottoman courts and markets,,"""Breaching the Bronze Wall deals with the idea that the word of honorable Muslims constituted proof and with the concept that written documents and the word of non-Muslims were inferior. Foreign merchants in cities like Istanbul, Damascus or Alexandria could barely prove any claim, as neither their contracts nor their words were of any value if countered by Muslims. Francisco Apellániz explores how both groups labored to overcome these 'biases against non-Muslims' in the courts and markets of Mamluk Egypt and Syria of the 14th and 15th centuries, and how the Ottoman conquest (1517) imposed a new, orthodox view on the problem. The book dives into the Middle Eastern archive and the Ottoman Dīvān, and scrutinizes the intricacies of sharia and the handling of these intracacies by consuls, dragomans, qaḍīs and other legal actors""-- Provided by publisher.",2020,,"history | legal status, laws, etc | middle east | merchants | dhimmis (islamic law) | egypt | ottoman empire | authentication | witnesses (islamic law) | turkey | syria",https://www.loc.gov/item/2020018155/
ayyubid,Xerxes and Babylonia : the cuneiform evidence,,"In the summer of 484 BCE Babylonia revolted against Xerxes, king of Persia. In recent years, a debate has crystallized around the nature of Xerxes' response to this challenge. This volume continues and expands this debate. It collects nine essays on the cuneiform text corpus dated to the period before, during and after the revolts. This material enables the authors to evaluate the nature of Xerxes' policies in the sphere of society, science, religion, law, administration and economy against the long-term history of the region. The contributions are by Paul-Alain Beaulieu, Johannes Hackl, Michael Jursa, Karlheinz Kessler, Mathieu Ossendrijver, Reinhard Pirngruber, Malgorzata Sandowicz and Caroline Waerzeggers.",2018,,"history | middle east | xerxes | sources | babylonia | i | iraq | kings and rulers | cuneiform inscriptions, akkadian | 519 b.c.-465 b.c. or 464 b.c | to 634 | cuneiform inscriptions | king of persia",https://www.loc.gov/item/2020719469/
ayyubid,"Narratives of kingship in Eurasian empires, 1300-1800",,"""In 'Narratives of Kingship in Eurasian Empires, 1300-1800' Richard van Leeuwen analyses representations and constructions of the idea of kingship in fictional texts of various genres, especially belonging to the intermediate layer between popular and official literature. The analysis shows how ideologies of power are embedded in the literary and cultural imagination of societies, their cultural values and conceptualizations of authority. By referring to examples from various empires (Chinese, Indian, Persian, Arabic, Turkish, European) the parallels between literary traditions are laid bare, revealing remarkable common concerns. The process of interaction and transmission are highlighted to illustrate how literature served as a repository for ideological and cultural values transforming power into authority in various imperial environments.""--Cover page 4.",2017,,eurasia | kings and rulers in literature | ideology and literature | in literature | kings and rulers | authority in literature,https://www.loc.gov/item/2020719583/
ayyubid,"A literary history of the Arabs,",,"""Bibliography of works by European authors"": p 471-480",1907,,history and criticism | arabic literature,https://www.loc.gov/item/07036932/
ayyubid,The Jalayirids : dynastic state formation in the Mongol Middle East,,Includes bibliographical references (pages 209-223) and index. Description based on print version record; resource not viewed.,2016,,history | iran | jalāyirids,https://www.loc.gov/item/2020719502/
ayyubid,Arabia.,,"""Authorities"": p. [121]-122. Also available in digital form on the Library of Congress Web site. digital files not viewed; td12 2013-7-16",1920,,arabian peninsula,https://www.loc.gov/item/a22000920/
ayyubid,"Ordinary Jerusalem, 1840-1940 : opening new archives, revisiting a global city",,Includes bibliographical references. Description based on print version record and CIP data provided by publisher; resource not viewed.,2018,,municipal government | history | jerusalem | 19th century | urban anthropology | 20th century,https://www.loc.gov/item/2018019932/
ayyubid,"Historicizing Sunni Islam in the Ottoman Empire, c. 1450-c. 1750",,"""Articles collected in Historicizing Sunni Islam in the Ottoman Empire, c. 1450-c. 1750 engage with the idea that ""Sunnism"" itself has a history and trace how particular Islamic genres-ranging from prayer manuals, heresiographies, creeds, hadith and fatwa collections, legal and theological treatises, and historiography to mosques and Sufi convents-developed and were reinterpreted in the Ottoman Empire between c. 1450 and c. 1750. The volume epitomizes the growing scholarly interest in historicizing Islamic discourses and practices of the post-classical era, which has heretofore been styled as a period of decline, reflecting critically on the concepts of 'tradition', 'orthodoxy' and 'orthopraxy' as they were conceived and debated in the context of building and maintaining the longest-lasting Muslim-ruled empire. Contributors: Helen Pfeifer; Nabil al-Tikriti; Derin Terzioğlu; Tijana Krstić; Nir Shafir; Guy Burak; Çiğdem Kafesçioğlu; Grigor Boykov; H. Evren Sünnetçioğlu; Ünver Rüstem; Ayşe Baltacıoğlu-Brammer; Vefa Erginbaş; Selim Güngörürler""-- Provided by publisher.",2020,,history | sunna | ottoman empire | islam | turkey,https://www.loc.gov/item/2020032338/
ayyubid,"Prince, pen, and sword : Eurasian perspectives",,"""Prince, Pen, and Sword offers a synoptic interpretation of rulers and elites in Eurasia from the fourteenth to the eighteenth century. Four core chapters zoom in on the tensions and connections at court, on the nexus between rulers and religious authority, on the status, function, and self-perceptions of military and administrative elites respectively. Two additional concise chapters provide a focused analysis of the construction of specific dynasties (the Golden Horde and the Habsburgs) and narratives of kingship found in fiction throughout Eurasia. The contributors and editors, authorities in their fields, systematically bring together specialised literature on numerous Eurasian kingdoms and empires. This book is a careful and thought-provoking experiment in the global, comparative and connected history of rulers and elites"" -- Provided by publisher.",2018,,elite (social sciences) | eurasia | kings and rulers | history,https://www.loc.gov/item/2018033614/
ayyubid,Handbook of Islamic sects and movements,,"""The Handbook of Islamic Sects and Movements offers a multinational study of Islam, its variants, influences, and neighbouring movements, from a multidisciplinary range of scholars. These chapters highlight the diversity of Islam, especially in its contemporary manifestations, as a religion of many communities, theologies, and ideologies. Over five sections-on Sunni, Shia, Sufi, fundamentalist, and fringe Islamic movements-the authors provide historical overviews, analyses, and in-depth studies of large and small Islamic and related groups from all around the world. The contents of this volume will be of interest to both newcomers to the study of Islam and established scholars of religion who wish to engage with the dynamic label of Islam and the many impactful movements of the Islamic world""-- Provided by publisher.",2021,,islamic sects | islam,https://www.loc.gov/item/2021018074/
ayyubid,"Settlement and history in Hellenistic, Roman, and Byzantine Galilee : an archaeological survey of the Eastern Galilee",,"""This book is a revised and expanded version of [the author's] Ph.D. dissertation in archaeology (... 2004)""--P. vi. Includes bibliographical references (pages [429]-453) and indexes. Description based on print version record; resource not viewed.",2009,,history | galilee | land settlement | galilee (israel) | israel | antiquities,https://www.loc.gov/item/2020719914/
ayyubid,The Pechenegs : nomads in the political and cultural landscape of Medieval Europe,,"""In The Pechenegs: Nomads in the Political and Cultural Landscape of Medieval Europe Aleksander Paroń offers a reflection on the history of the Pechenegs, a nomadic people which came to control the Black Sea steppe by the end of the ninth century. Nomadic peoples have often been presented in European historiography as aggressors and destroyers whose appearance led to only chaotic decline and economic stagnation. Making use of historical and archaeological sources along with abundant comparative material, Aleksander Paroń offers here a multifaceted and cogent image of the nomads' relations with neighboring political and cultural communities in the tenth and eleventh centuries""-- Provided by publisher.",2021,,"history | pecheneg (turkic people) | to 1500 | europe, eastern | nomads",https://www.loc.gov/item/2021015848/
ayyubid,Turkey--facing a new millennium : coping with intertwined conflicts,,Includes bibliographical references (pages [248]-257) and index. Description based on print version record; resource not viewed.,2003,,europe | greece | kurds | israel | foreign relations | turkey,https://www.loc.gov/item/2020718026/
ayyubid,Ibn Taymiyyah on reason and revelation : a study of Dar' ta'arud al-'aql wa-l-naql,,"""In Ibn Taymiyya on Reason and Revelation, Carl Sharif El-Tobgui offers the first comprehensive study of Ibn Taymiyya's ten-volume magnum opus, Dar' ta'arud al-'aql wa-l-naql. In his colossal riposte to the Muslim philosophers and rationalist theologians, the towering Ḥanbalǐ polymath rejects the call to prioritize reason over revelation in cases of alleged conflict, interrogating instead the very conception of rationality that classical Muslims had inherited from the Greeks. In its place, he endeavors to articulate a reconstituted ""pure reason"" both truly universal and in full harmony with authentic revelation. Based on a line-by-line reading of the entire Dar' ta'arud, El-Tobgui's study carefully elucidates the ""philosophy of Ibn Taymiyya"" as it emerges from the multifaceted ontological, epistemological, and linguistic reforms Ibn Taymiyya carries out""-- Provided by publisher.",2020,,"ibn taymīyah, aḥmad ibn ʻabd al-ḥalīm | bayān muwāfaqat ṣarīḥ al-maʻqūl li-ṣaḥīḥ al-manqūl | islam and philosophy | islam | faith and reason",https://www.loc.gov/item/2019033460/
fall of rome,"Syllabus of continental European history from the fall of Rome to 1870,",,"Printed on one side of leaf only. ""Prepared primarily for the use of freshmen and sophomores in Yale university.""---Pref.",1904,,"europe | history | outlines, syllabi, etc",//lccn.loc.gov/04030964
fall of rome,Verba Incognita: A Guide to Deciphering Latin on Maps,,"This is a guest post by Kelly Bilz, Librarian-in-Residence in the Geography and Map Division. Even though Latin had fallen out of vernacular use after the fall of Rome (and began to evolve into the modern Romance languages), it lived on in its written form, becoming the lingua franca, so to speak, of scholarship. In &hellip;",2020,,digital cartography | blogs | cartography | geography | gis | maps | history,https://blogs.loc.gov/maps/2020/10/verba-incognita-a-guide-to-deciphering-latin-on-maps/
fall of rome,A concent of Scripture.,,"Engraving by William Rogers. Signatures: leaf (engraved title page) unsigned, 1-4, A-D⁴, fold. leaf, unsigned, E-G⁴ (G4 blank) Library of Congress. Lessing J. Rosenwald collection, 1253 LAC ecr 2019-02-01 update (1 card)",1590,,london | early works to 1800 | england | chronology | bible,https://www.loc.gov/item/60001703/
fall of rome,An enquiry into the life and writings of Homer,,"Signatures: [A]² B-3D⁸ 2E⁶. Sowerby, E.M. Cat. of the Lib. of Thomas Jefferson, 30 ESTC N6472 Engraved head- and tail-pieces. Includes index. Publisher's advertisements: p. [81-82] at end. LC copy forms part of the Jefferson Exhibit Collection. Passage in ms. on front free-endpaper identified by Sowerby as being in Jefferson's hand. Bound into 1 volume. LC copy initialled by Thomas Jefferson at signatures I and T. Has the Library of Congress's 1815 bookplate. LAC snh 2019-10-01 no edits (1 card)",1757,,"london | poets, greek | homer | early works to 1800 | england | history and criticism | biography | epic poetry, greek",https://www.loc.gov/item/2011659159/
fall of rome,Great battles of the world,,"Library of Congress. Lessing J. Rosenwald collection, 2304 LAC brd 2019-01-31 update (1 card) LAC rwp 2019-02-05 review LAC ddw 2022-05-12 update (1 card)",1901,,battles,https://www.loc.gov/item/01006766/
fall of rome,A concent of Scripture.,,"Signatures: leaf (engraved title page) unsigned, [par.]⁴, A-G⁴ (G₄ blank), fold. leaf, unsigned. Library of Congress. Lessing J. Rosenwald collection, 1252 LC copy imperfect: maps and 1 plate (or 2?) wanting. LC copy has bookplate of Howard C. Levis. With: the author's An apologie in briefe. London, 1592. Bound together subsequent to publication. LAC ecr 2019-02-01 update (1 card)",1590,,london | early works to 1800 | england | chronology | bible,https://www.loc.gov/item/49039066/
fall of rome,A concent of Scripture,,"Signatures: engraved title page [fleuron]1 A⁴ B⁴ ²B⁴ C-H⁴. STC (2nd ed.) 3851 Library of Congress. Lessing J. Rosenwald collection, 1468 Rosenwald copy is also available in digital form on the Library of Congress Web site. LC copy has inscription on verso of third plate, ""Sam'l Staniforth; Donor."" Bound by Riviere. Special Files Project; vb59 12-10-2007 LAC ecr 2019-02-01 no edits (1 card) LAC ddw 2022-02-23 update (1 card) LAC ael 2022-02-24 update (1 card)",1620,,"london | revelation | netherlands | early works to 1800 | criticism, interpretation, etc | england | chronology | bookbinding (binding) | bible | middelburg | dlc",https://www.loc.gov/item/06029172/
fall of rome,Late Antiquity: A Resource Guide,,Late antiquity refers to the final centuries of classical civilization (late 3rd century to the 7th century). This guide lists secondary sources and primary ancient Greek and Latin materials from this period which are housed in the Library of Congress.,2021,,religion and philosophy | byzantine empire | language and literature | late antiquity | west european studies | history | late latin | early middle ages | koine greek,https://guides.loc.gov/late-antiquity
fall of rome,Verba Incognita: A Guide to Deciphering Latin on Maps,,Explore the use of Latin in historic maps and learn some basic Latin terms used in maps.,2020,,blogs | teachers | teaching tools | teacher resources | teaching strategies,https://blogs.loc.gov/teachers/2020/11/verba-incognita-a-guide-to-deciphering-latin-on-maps/
fall of rome,"Update on Medieval Canon Law, and How to Deal with a Complex Book",,"The following is a guest post by Dante Figueroa, Senior Legal Information Analyst at the Law Library of Congress. Proceedings of the Thirteenth International Congress of Medieval Canon Law: Esztergom, 3-8 August 2008 While reviewing some new Italian legal materials, I became intrigued by a monograph recently acquired by the Benelux, France and Italy Section &hellip;",2012,,law library | blogs | law,https://blogs.loc.gov/law/2012/06/update-on-medieval-canon-law-and-how-to-deal-with-a-complex-book/
fall of rome,"The new history; essays illustrating the modern historical outlook,",,"""All of the essays in this volume, with the exception of the fourth, have been printed before.""--Pref.",1912,,history,https://www.loc.gov/item/12005184/
fall of rome,"The papacy and modern times; a political sketch, 1303-1870.",,Bibliography: p. 253-254.,1911,,history | europe | politics and government | papacy,https://www.loc.gov/item/12000038/
fall of rome,2008 Kluge Prize Ceremony,,Peter Robert Lamont Brown and Romila Thapar were awarded the 2008 Kluge Prize for lifetime achievement in the study of humanity.,2008,,"biography, history | education | religion",https://www.loc.gov/item/2021688034/
fall of rome,"Europe in the middle ages,",,Bibliography at end of each chapter except the first.,1932,,europe | history,https://www.loc.gov/item/32012496/
fall of rome,Ballads and other poems. Original and translated.,,"Includes free translations from Propertius, from the Spanish and Icelandic.",1868,,,https://www.loc.gov/item/25020681/
fall of rome,"The Hound of heaven,",,Illustrated lining-papers. Introduction signed: James J. Daly.,1922,,,https://www.loc.gov/item/22021941/
fall of rome,"A little treatise on southern civilization, with suggestions for the founding of southern economic and political science associations,",,"""Books for economic and political science libraries"": p. [64]-77.",1915,,southern states | civilization,https://www.loc.gov/item/16003484/
fall of rome,Mediaeval and modern history,,Includes bibliographies and index.,1905,,"history, modern | middle ages | world war",https://www.loc.gov/item/05010413/
fall of rome,"The origins and destiny of imperial Britain and nineteenth century Europe,",,"""Reprint of a course of lectures delivered in May, June, and July, 1900.""--Pref.",1915,,imperialism | colonies | administration | 19th century | great britain | war | history,https://www.loc.gov/item/15007990/
fall of rome,"A short history of ancient times,",,"""The present volume consists of the first half of my second revised 'General history', with merely such changes in a few matters of detail as were necessary in order to make the book independent of the last half of that work, which part is to be issued as a separate volume unrer the title of ""A short history of mediaeval and modern times'.""--Pref. Includes bibliographical references.",1922,,"history, ancient",https://www.loc.gov/item/22009773/
fall of rome,"Mediæval and modern history,",,Bibliographies at end of each chapter.,1920,,"history, modern | middle ages | world war",https://www.loc.gov/item/20016921/
fall of rome,"Outlines and studies to accompany Myers ̕mediæval and modern history; a students ̕notebook,",,Printed on one side of leaf only.,1907,,"outlines, syllabi, etc | middle ages | history, modern",https://www.loc.gov/item/07022839/
fall of rome,"The study of mediaeval history by the library method for high schools,",,"""Books of reference"": p. [v]-viii.",1897,,"outlines, syllabi, etc | middle ages",https://www.loc.gov/item/03007128/
fall of rome,Self-renunciation,,"Copyright date from verso of t.p. Attributed to Bruce Hughes in NUC, Pre-1956, v. 259, p. 82.",1902,,,https://www.loc.gov/item/03000234/
fall of rome,Four kingdom motifs before and beyond the book of Daniel,,"""The four kingdoms motif enabled writers of various cultures, times, and places, to periodize history as the staged succession of empires barrelling towards an utopian age. The motif provided order to lived experiences under empire (the present), in view of ancestral traditions and cultural heritage (the past), and inspired outlooks assuring hope, deliverance, and restoration (the future). Four Kingdoms Motifs Before and Beyond the Book of Daniel includes thirteen essays that explore the reach and redeployment of the motif in classical and ancient Near Eastern writings, Jewish and Christian scriptures, texts among the Dead Sea Scrolls, Apocrypha and pseudepigrapha, depictions in European architecture and cartography, as well as patristic, rabbinic, Islamic, and African writings from antiquity through the Mediaeval eras""-- Provided by publisher.",2020,,"daniel | bible | criticism, interpretation, etc",https://www.loc.gov/item/2020040631/
fall of rome,"An outline of history for the grades,",,"""References"" at end of chapters.",1908,,history | study and teaching,https://www.loc.gov/item/09014578/
fall of rome,"Rome : its rise and fall ; a text-book for high schools and colleges,",,"""References"" at end of chapters.",1900,,rome | history,https://www.loc.gov/item/00004293/
fall of rome,"Dissertations on the prophecies,",,Also available in digital form on the Library of Congress Web site.,1813,,bible | prophecies,https://www.loc.gov/item/01005564/
fall of rome,"Social theory of fear : terror, torture, and death in a post-capitalist world",,Includes bibliographical references and index. Description based on print version record; resource not viewed.,2010,,security (psychology) | fear | social aspects,https://www.loc.gov/item/2020719101/
fall of rome,"General history,",,Contains bibliographies.,1923,,world history,https://www.loc.gov/item/23009567/
fall of rome,General history,,Includes bibliographies and index.,1921,,world history,https://www.loc.gov/item/21016147/
fall of rome,The founding of a new world,,"Published also as v. 1 of the author's ""History of the Christian church,"" 1896. ""Literature"": p. 15-24.",1898,,"primitive and early church, ca. 30-600 | church history",https://www.loc.gov/item/03013944/
fall of rome,"Educational guidance; an experimental study in the analysis and prediction of ability of high school pupils,",,"Thesis (PH. D.)--Columbia University, 1914. Vita.",1914,,grading and marking (students) | ability,https://www.loc.gov/item/15008121/
fall of rome,"Seeing Renaissance glass : art, optics, and glass of early modern Italy, 1250-1425",,Includes bibliographical references and index. Description based on print version record; resource not viewed.,2018,,optics and art | history | to 1500 | italy | glass | civilization | glass art,https://www.loc.gov/item/2020718392/
fall of rome,The story of mankind.,,"""An historical reading list for children"": p. 447-454.",1923,,world history | juvenile literature,https://www.loc.gov/item/23003081/
fall of rome,"A history of Rome,",,"""General bibliography"": p. 227-231.",1917,,history | rome,https://www.loc.gov/item/17012507/
fall of rome,Talking Book Topics November-December 2024 - National Library Service for the Blind and Print Disabled (NLS),,"Volume 90, Number 6 Need help? Your local cooperating library is always the place to start. For general information and to order books, call 888-NLS-READ (888-657-7323) or contact your local cooperating library. Get books fast from BARD Most books and magazines listed in Talking Book Topics are available to eligible readers for download on BARD",,,,https://www.loc.gov/nls/new-materials/talking-book-topics/talking-book-topics-november-december-2024/
fall of rome,Poems,,LAC ael 2020-02-04 no edits (1 card),1892,,,https://www.loc.gov/item/33035300/
fall of rome,"A short world history,",,Contains lists of books recommended for futher study.,1921,,world history,https://www.loc.gov/item/22001298/
fall of rome,"The passing of the great race; or, The racial basis of European history,",,Bibliography: p. [415]-441.,1921,,europe | ethnology,https://www.loc.gov/item/21014644/
fall of rome,The story of mankind,,"Illustrated t.-p. ""An historical reading list for children"" : p. 469-477.  LAC brd 2019-01-31 update (1 card)",1921,,world history | juvenile literature,https://www.loc.gov/item/21020552/
