keywords,title,creator,abstract,year,journal_title,license,link,query
ayyubid,ECONOMY IN THE ERA OF SALAH AD-DIN,İsmail KALASH,"The aim of this study is to examine the financial resources and expenditures, and the economic (commercial, agricultural, industrial) activities of Ayyubid state. The results of the study showed that the economy of Ayyubid state was stable and prosperous. Saladin had interested in domestic trade, and contributed to the monitoring and control of the markets, and provided the security and safety to traders and their goods and funds. He also interested in the foreign trade and engaged in trade agreements with major European cities. At agricultural level, the agricultural activities and irrigation systems had been supported. In addition, farmers had been protected from feudal injustice. At the industry level, the Saladin era was characterized by industrial welfare, and the industrial and crafts diversity. The financial resources of Ayyubid state were zakat, tribute, commercial taxes and other sources. Saladin abolished the taxes, that are against Islamic law, in the conquered cities. The financial resources of the state had been allocated to build educational institutions (schools, mosques, Dervish convents), hospitals, army, fortifications and fleet.",2021.0,,OPEN,https://dergipark.org.tr/tr/download/article-file/1486119,ayyubid
ayyubid,The Chronological Process of Substituting Military Governments of the Levant from Tutush I till Saladin,mahdi mohamadi,"AbstractSince the formation of Seljuks in the Levant, this region was subject to unrest, which continued the chaotic trend of the post-Hamdanid. What took place in the Levant in the Seljuk period was a series of replacing the governments by the soldiers of the same dynasty one after the other from 478 till 570 A. H. This research aimed to answer this question: What was the process of substituting governments in this period? To this goal, the reasons for the rise and fall of the Levant's governments and the records of substitute dynasties had to be analyzed. By using the quantitative historical method, the procedure of these substitutions was mapped. According to this study, the chronological process of substituting the governments had increased over time. The former disturbs were managed to be settled and the short-term rulers -inheritances of Arab tribes- to be altered by long dynasties, such as the Zengid and Ayyubid dynasties.IntroductionSome of the Levant governments were overthrown by foreign powers and as usual, the stronger governments prevailed over weaker ones. In the time frame presented in this paper, several local governments fell in this manner, among which we could mention Banu Ammar in Tripoli. There was another form of overthrowing a government that arose from within and took over. Those who served the former government then became the ones possessing power, resulting in dynasties, such as Burid, Zangid Atabegs, and Ayyubid dynasties. Since this form of conquest was defined as an uprising in the political terms of that time and new dynasties needed continuous efforts to maintain power and assemble sufficient legitimacy for themselves, they went through the process of start-points and continuance. Though each new dynasty tried to have a starting point of its own, they had to use covers, such as gaining the Atabeg of a Seljuk prince or receiving a charter from the Abbasid Caliph. Thus, only the passage of time and their behaviors to preserve their land became a factor of legitimacy that they had to earn it after several internal revolts of the generals. In other words, after some time, the land became their ancestral property and the oppressing commanders needed time to construct their property.Materials and MethodsThe author first dealt with the contexts of the fall and succession of the cited governments in this period. Therefore, he used the contextual description method. Accordingly, the political and social contexts of the lands and those, who started the new governance, were examined. Because the substitutions happened from T1 till time T2 in the context of time, a chronologic method was applied to estimate the government changes. Finally, the chronological and historical methods joined a quantitative view. The time passage had to be taken seriously to evaluate the stability of the government during their ruling time. The quantitative method also took the internal courses of the governments into account. The author tried to find the substitution process year to evaluate the alternative trends and identify the quantitative strategy for these events.Discussion and ConclusionsThe substitution of the Levant dynasties at that time was affected by instability, insecurity, and the pressure of foreign governments, building the necessity of raising a new government within the former. Therefore, the people who supported the Turk or semi-Turk troops could start a new dynasty from the heart of the previous one. The survival of the new government and its resistance towards subsequent replacement largely depended on managing the crisis that happened to the Levant in their time. Hence, the Burid took over the Seljuks of Damascus, but they were able to withstand the substitution trend for a long time because of their adequacy to protect Damascus against Crusaders and expansionists. First, it was assumed that all substitutions of the Levant governments followed an integrated pattern, but the data of the quantitative hypotheses proved it wrong. Based on the years that a dynasty maintained power in the Levant, the substitution process had increased from the Seljuks to the Ayyubid dynasty. This indicated stability in the Levant since the time of the Hamdanid. When the Hamdanid dynasty ended, the Arab tribes took control of this region and handed over a turbulent region to the Seljuks. The conflict between the Seljuk rulers brought this earlier chaos to the period of Ridwan's successors. Therefore, since the arrival of the first Turkmen associated with a rough and chaotic period in the Levant, these government changes grew until the Ayyubid dynasty. Saladin and his brother managed to divide the Ayyubid dynasty into the Ayyubid of the Levant and Egypt. Still, the Ayyubid dynasty held power in the 7th century A.H. Due to the timeframe of this paper, the substitution of the Ayyubid was not looked into; however, their long-term stability and continuation could be generalized to the Mamluk Sultanate and the Ottoman Empire, which certainly requires another research.",2022.0,,OPEN,,ayyubid
ayyubid,Engraved Property: The Titles and Names of Rasulid Women on Ayyubid and Mamluk Metalwork,Noha Sadek,"Abstract Inscriptions containing women’s titles and names on objects are relatively rare occurrences throughout the Islamic world, whether they belong to known personalities or to unknown individuals. This article examines graffiti in the names of women from the Rasulid dynasty in Yemen (626–858/1229–1454), incised on silver-inlaid brass objects mostly made in Mamluk workshops (seventh–eighth/thirteenth–fourteenth centuries) as commissions, gifts, or purchases for the Rasulid sultans of Yemen, which have hitherto been unidentified. Moreover, the titles of these princesses also are found on Ayyubid metal objects. Although of little aesthetic value, these inscriptions hold great historical and social significance by providing details on inheritance, lineage, ownership, and the object’s history.",2023.0,,OPEN,https://doi.org/10.1163/26666286-12340041,ayyubid
ayyubid,The Contribution of Wo‌men in the Urban and Cultural in the Ayyubid Period 570-658 AH / 1174-1260 AD,Ahmed Ahmed,"The contributions of Muslim women covered many especcts in our Islamic society, women have involved side by side with the man in many areas they are in the battlefields heal and cure the wounded, and in urging jihad against those who wanted to desecrate the soil of the homeland, at the same time she was highly educated in the field of science especially in the Islamic lawand what is related to it, or participated in the reconstruction of religious, educational, and service institutions. This precludes the persecution of Islam for women, promoted by biased people against Islam and its people. The Women's influential role in the political side, too, has worked in the Department of Political Affairs on several occasions in the Ayyubid period. In additional to that both the Syria and Egypt have become a center of educational activity for women, where women who did play a role at the field of teaching or learning, although not their appear  directly in schools as teachers or students , but many of them have worked in this aspect indirectly, the elders of them or Shekhat or Rawyat of the Hadetih , and be Ancin private schools for boys and for the study of modern jurisprudence and various doctrines, and some of them known for excellence in the art of a certain knowledge of the arts. The role of women to participate in the urban and service area have varied, as well as to their role in the construction of schools have worked hard at building al-zawea and khanqah and Al-hamamat of those enriched by urban relics remain in the Levantine and Egyptian cities. The contribution of women Ayyubid family had not focused in only educational institution-building, but they shared by endowments, and their contribution was clear in this area and participated in the promotion of intellectual movement in the Ayyubid period.  It will search the institutions built by the princesses Ayoubidy nasty of Akhawatin sisters sultans and their wives and daughters, as well as the ladies of the non- House Ayoubi, we will look as well as talk about the institutions that has been build, and to their culture and their role in the scientific life in that period, if any, and their role as supervisor in the area focuses scientific in that period, where the busy pens and minds of danger Crusader.",2016.0,,OPEN,,ayyubid
ayyubid,The Economic and Social Life in Egypt during the Reign of Ayyubid Sultan Saladin (567 AH -1171 AD) -589 AH/1193AD) A Vision through the Journey (Rihlat) of Ibn Jubayr,Isa Mahmoud Alazzam,"This research aims to study the description, life and biography of the Ayyubid sultan Saladin by Ibn Jubayr, and the economic and social conditions of Egypt as witnessed and described by the traveler Ibn Jubayr and the following results are concluded: First: Ibn Jubayr praised the Ayyubid sultan Saladin and his good conduct and behavior with the subjects, his fairness, his patience and forbearance, modesty and his keen in interest in Jihad for the Sake of Allah. He called him the (Just Sultan).Second: Ibn Jubayr talked about the keen interest of the sultan in the economic matters of the subjects and especially in regard to tax reform in the state where he dropped them completely, and worked to promote security and order, and securing the trade routes, and also gave an accurate description of the international trade stations in Egypt between the east and the west and the markets in some of the cities.Third: Ibn Jubayr described the keen interest of the Sultan in regard to the religious and scientific institutions in the society like schools, mosques, religious landmarks and hospitals through the establishment of some of those institutions, and creating the endowments connected to each one of them, in addition to securing steady salaries for those working and serving in those institutions, and spending on the scholars, students and the poor who came to those institutions.",2013.0,,OPEN,http://www.ccsenet.org/journal/index.php/ach/article/download/25997/19162,ayyubid
ayyubid,Fakhr Al-Din Yusuf Ibn Sheikh Al-Shuyukh’s Campaign To Mecca (629 AH/1232 AD): Read The Sources,Mody Al-Sarhan,"The personality of Fakhr al-Din Yusuf, Ibn Sheikh al-Shuyoukh, was distinguished by special traits, which prompted the kings of the Ayyubid state to trust him and rely on him to carry out important tasks. This research deals with one of the tasks assigned to Fakhr al-Din Yusuf by al-Malik al-Kamil Muhammad in the year 629 AH / January 1232 AD, which is to restore the Ayyubid influence over Makkah al-Mukarramah after this influence was lost at the expense of the Rasulid state in Yemen. The nature of the problem researching the nature of the mission that was assigned to Fakhr Al-Din Ibn Sheikh Al-Shuyoukh, a flight from the success of his mission, except that he faced anger that could be Muhammad.",2023.0,,OPEN,https://doi.org/10.54940/ss90527498,ayyubid
ayyubid,"THE HISTORICAL NARRATION OF RAMLAH BATTLE (573 AH/ 1174CE) , THROUGH THE PERSPECTIVE AND VISION OF THE FAMOUS HISTORIAN IMADADDIN AL-ASFAHA",Karvan Ahmed,"The research aims to stand objectively on the historical narration of Ramlah Battle (573 AH/ 1174CE) , through the perspective and vision of the famous historian Imadaddin Al-Asfahani and introducing the preparations mad by Sultan Salahuddin to carry out the campaign and the procedures he took to enter the lands of the Crusaders in the Levant. Then, the strategy he adopted during his presence with the Ayyubid Army in the Crusaders areas and finally, the factors that caused the defeat of Sultan Salahuddin  in the battle. The Battle of Ramlah is one of the most famous military battles in the history of the Ayyubid  State during the reign of the  Crusades. It was the first official defeat of the rule of Salahuddin by the Crusaders directly in a military clash. This defeat changed the strategic and military thinking of the Sultan towards more sophisticated pursuits. In accordance with the vision of one of the contemporary historians who accompanied the Sultan  during the initial stages of preparation for that campaign, namely (Imadadin Al-Asfahani) as the researcher mentions that no special  study had been done regarding  the battle. Therefore, (The Battle of Ramlah in the narration of Imadadin Al - Asfahani through his book Al - Barak Al - Shami (597 AH / 1201 AD) - An Analytical Study) is chosen to be the topic of this research. The research is divided into two main parts as well as the introduction and the conclusion. The introduction is devoted to discuss the biography of the historian Imadadin Al- Asfahani, his social life and his relation with the Zankid and the Ayyubid states. Concerning the first part, it discusses the preparations of Sultan Salahuddin Al-Ayyubi for the Rmlah Battle and the procedures to prepare for the campaign. As for the second part, it focuses on the Sultan Sallahuddin’s path, his attack on Ashkelon, and eventually, the main outcomes of the Ramlah Battle.",2018.0,,OPEN,http://journal.uod.ac/index.php/uodjournal/article/download/157/104,ayyubid
ayyubid,Tariq Ali's the Book of Saladin: A Khaldunian Study,Ahmad Saeed Iqbal; Muhammad Asif,"The Book of Saladin is Ali's metafictional retelling of the conquest of Jerusalem by Salah ad-Din Ayubbi and the rise of the Ayyubid Dynasty. Ali believes that by acquiring the desired social solidarity (Asabiyyah) and displaying the best elements of the Muslim civilization (Umran), Salah ad-Din raised the Ayyubid Dynasty to its grandeur. The fall of Christians and the rise of the Muslims happened in a cyclic mode; therefore, Ibn Khaldun's cyclic theory of the rise and fall of civilizations from his Muqaddimah suits to the theoretical framework of the present research. The study deconstructs the politics of Eurocentric perceptions about the history of crusades and traces the trajectory of the present socio-political conflicts in the Middle East. This paper concludes that for the sake of global peace, Christians and Muslims must liberate themselves from the roots of their bloody historical clashes especially the painful memories of the crusades.",2020.0,,OPEN,https://glrjournal.com/jadmin/Auther/31rvIolA2LALJouq9hkR/pao1UeuN2R.pdf,ayyubid
ayyubid,"Agriculture in the City of Jerusalem ""The Ayyubid period"" as a model (583H - 648H / 1187 - 1250): الزراعة في مدينة القدس ""العهد الأيوبي"" أنموذجاً (583هـ-648هـ/1187م-1250)",,"This study deals with the talk about agriculture in the city of Jerusalem, ""the Ayyubid era as a model, which was represented in the study of agriculture and its conditions in terms of the nature of the land and the conditions of agriculture in the city of Jerusalem, and talked about the land used in that era, methods of land investment, irrigation sources and methods. The study discussed the most important crops produced in the city of Jerusalem, and then mentioned the most important animals and machinery used by the farmers in the city. The researcher has sought in this study to adopt the information contained in this study from considerable primary sources, despite the lack of resources and studies that dealt with the subject, and the researcher has proven in this study the reality and importance of agriculture in the city of Jerusalem in particular, and this is what the researcher stated contrary to what the Israeli occupation claims that Palestine was a barren country without agriculture.",2020.0,,OPEN,https://www.ajsrp.com/journal/index.php/jhss/article/download/2929/2757,ayyubid
ayyubid,Richard the Lionheart and the Ferocious Saladin Face to Face in Arsuf: A Proteomic Study,"Zilberstein, Gleb; Zilberstein, Svetlana; Righetti, Pier Giorgio","On 7 September 1191, a fierce battle took place in Arsuf (Palestine) between the Crusaders (marching south towards Jerusalem) led by King Richard the Lionheart and the Ayyubid army commanded by the sultan Saladin. The confrontation lasted for most of the day and terminated with a victory of the Crusaders, proving Richard’s courage as a soldier and his skill as a commander while denting Saladin’s reputation as an invincible warrior. The site (today known as Apollonia) holds the ruins of a Crusader castle perched on a cliff over the sea. We recovered plenty of pottery shards among which we could distinguish those of the Crusaders from those of the Ayyubid army. Extraction of food remnants confirmed that the Crusaders’ diet consisted mostly of pig and sheep meat (together with cheese), with a minimum of carbohydrates (what today would be termed a “ketogenic” diet), whereas the Muslim army consumed mostly carbohydrates (wheat, Triticum durum, Hordeum vulgare), together with fruits and vegetables, with minimal levels of sheep meat and cheese. As a result, the Crusaders’ diet had a positive effect on their slenderness and “cardio”. This might have been why the Ayyubid army lost ca. 10 times more soldiers in Arsuf. Shrewdness of leaders and soldiers’ equipment and willingness to fight are, of course, the main ingredients of victory, but diet too might not have a secondary role and help to tip the balance.",2021.0,Crossref,OPEN,https://www.mdpi.com/2571-9408/4/4/188/pdf,ayyubid
ayyubid,Critical and Literary Issues in the Collection of King Al-Amjad Bahram Shah Ayyubid,Safaa kheder,"There are many poetic verses that we may read in collections of Arabic poetry containing some issues of criticism and poetry over ages up-to-date. Perhaps this is due to the fact that poets are more knowledgeable than others about them for they organize poetry, follow its paths, and teach its arts. Thus, Al-Jahiz preferred poets - in this critical aspect - over narrators and grammarians, as he says: “I realized this essence of speech in the narrators of the book more generally, and on the tongues the dexterity of poets is more evident. Many critical and literary issues were mentioned in the Collection of King Al-Amjad Bahram Shah Ayyubid. Therefore, this study aimed to reveal the most important of these issues, such as the definition of poetry, the function and importance of poetry, the defects and authenticity of poetry, the process of poetry, its straying and its transmission between narrators. In addition, it investigated the issue of precedence to meaning (old and modern), pronunciation and meaning, and obviousness and affectation, nature and workmanship, with a statement of his opinion and position on these issues",2023.0,"International Journal of Advanced Humanities Research, Vol 3, Iss 2, Pp 134-157 (2023)",OPEN,https://doaj.org/article/522cb080689a4485af2e3ed1ba4ad873,ayyubid
ayyubid,The role of the Al-Hasba Institute in supervising the food industry in Syria during the Ayyubid period (570-648 AH / 1174-1250 AD),Sabr Qadr Hamadamin; Shawkat Aref Mohammed,"Research Summary  After the Ayyubids assumed power in Syria (570 AH / 1174 AD) they were interested in managing the country and organizing its public affairs, and one of the most important works they carried out was the establishment and activation of the Hisba Foundation, which had an effective role in organizing and revitalizing many economic activities, where this institution worked On improving people’s lives and solving people’s problems at that time, the Hisba Foundation was directly related to people’s lives, and it was a legal institution that supervised and controlled economic activities and markets, and its owners had the right to punish violators of instructions and laws, such as those who commit fraud or monopoly operations. The Hisba played a prominent role in supervising professionals and industrialists, and played an important role in the prosperity and development of industrial and craft activities during the Ayyubid era، The content of the research was discussed in three main sections: the first topic was the definition of the Al-Hisbah institution and its importance, the second topic: touched on the interest of the Ayyubids in this institution, and the third and final topic: it included the talk about the supervisory role of the Al-Hisba Foundation on the crafts and food industries and foods in Syria in the era Al-Ayoubi, and concluded the research with the most important conclusions.",2022.0,,OPEN,https://doi.org/10.31918/twejer/2252.14,ayyubid
ayyubid,(The military role of the Kurdish tribes in the Levant Countries during the first thirty years of the rule of the Bahri Mamluk state (648- 678 Hijra/ 1250- 1279 AD : الدور العسكري للقبائل الكردية في بلاد الشام خلال الثلاثين سنة الأولى من حكم دولة المماليك البحرية (648- 678هـ/ 1250- 1279 م),,"  This research aims to study the military role of the Kurdish tribes in the Levant Countries during the first 30 years of the rule of the Mamluk state (648- 678 hijra/ 1250- 1279 AD (. The two great dangers represented by the Mongol invasion of the eastern Muslim world, and the danger of the Franks in the remaining Franjian emirates and cities in the Levant Countries. The difficult circumstances which was imposed on the early Sultans forced them to benefit from the state of chaos which was created by the Mongols after their subjugation of the Ayyubid Emirates in the Levant Countries. Those Sultans joined the remnants of the Ayyubid armies, which were formed from the Turks, Kurds and Turkmen, to their armies to face these dangers. The Kurdish tribal groups, which practiced fighting in the most difficult circumstances, played a major role in the Mamluks' victorious wars against the Mongols and Franks. This research reveals this role as a contribution to the study of the human structure of the Mamluk army in that period.",2020.0,,OPEN,https://doi.org/10.26389/ajsrp.m031219,ayyubid
