title,abstract,keywords,year,journal_title,license,link,query
Systematic Triple-Mutant Analysis Uncovers Functional Connectivity between Pathways Involved in Chromosome Regulation,"Genetic interactions reveal the functional relationships between pairs of genes. In this study, we describe a method for the systematic generation and quantitation of triple mutants, termed triple-mutant analysis (TMA). We have used this approach to interrogate partially redundant pairs of genes in S. cerevisiae, including ASF1 and CAC1, two histone chaperones. After subjecting asf1Δ cac1Δ to TMA, we found that the Swi/Snf Rdh54 protein compensates for the absence of Asf1 and Cac1. Rdh54 more strongly associates with the chromatin apparatus and the pericentromeric region in the double mutant. Moreover, Asf1 is responsible for the synthetic lethality observed in cac1Δ strains lacking the HIRA-like proteins. A similar TMA was carried out after deleting both CLB5 and CLB6, cyclins that regulate DNA replication, revealing a strong functional connection to chromosome segregation. This approach can reveal functional redundancies that cannot be uncovered through traditional double-mutant analyses.",franks,2013,Cell Reports,,http://www.sciencedirect.com/science/article/pii/S2211124713002246,franks
Transcriptomic characterization of a synergistic genetic interaction during carpel margin meristem development in Arabidopsis thaliana.,In flowering plants the gynoecium is the female reproductive structure. In Arabidopsis thaliana ovules initiate within the developing gynoecium from meristematic tissue located along the margins of the floral carpels. When fertilized the ovules will develop into seeds. SEUSS (SEU) and AINTEGUMENTA (ANT) encode transcriptional regulators that are critical for the proper formation of ovules from the carpel margin meristem (CMM). The synergistic loss of ovule initiation observed in the seu ant double mutant suggests that SEU and ANT share overlapping functions during CMM development. However the molecular mechanism underlying this synergistic interaction is unknown. Using the ATH1 transcriptomics platform we identified transcripts that were differentially expressed in seu ant double mutant relative to wild type and single mutant gynoecia. In particular we sought to identify transcripts whose expression was dependent on the coordinated activities of the SEU and ANT gene products. Our analysis identifies a diverse set of transcripts that display altered expression in the seu ant double mutant tissues. The analysis of overrepresented Gene Ontology classifications suggests a preponderance of transcriptional regulators including multiple members of the REPRODUCTIVE MERISTEMS (REM) and GROWTH-REGULATING FACTOR (GRF) families are mis-regulated in the seu ant gynoecia. Our in situ hybridization analyses indicate that many of these genes are preferentially expressed within the developing CMM. This study is the first step toward a detailed description of the transcriptional regulatory hierarchies that control the development of the CMM and ovule initiation. Understanding the regulatory hierarchy controlled by SEU and ANT will clarify the molecular mechanism of the functional redundancy of these two genes and illuminate the developmental and molecular events required for CMM development and ovule initiation.,franks,2011,PLoS ONE,,http://europepmc.org/articles/PMC3198736?pdf=render,franks
A High Percentage of Beef Bull Pictures in Semen Catalogues Have Feet and Lower Legs that Are Not Visible,"A total of 1379 beef bull pictures were surveyed to determine visibility of feet and legs from four American semen company websites. Five different breeds were represented: Angus, Red Angus, Hereford (polled and horned), Simmental, and Charolais. In addition to visibility, data on other variables were collected to establish frequencies and correlations. These included breed, color, material that obscured visibility, such as grass, picture taken at livestock show or outside, semen company, photographer, video, and age of bull. A foot and leg visibility score was given to each bull picture. Only 19.4% of the pictures had fully visible feet and legs. Both the hooves and dewclaws were hidden on 32.5% of the pictures. Correlation between bull’s birthdate and the first four visibility scores was statistically significant (P &lt; 0.0001). As age increased the feet and legs were more likely to be visible in the bull’s picture. This may possibly be due to greater availability of both photo editing software and digital photography. One positive finding was that 6% of the bulls had a video of the bull walking which completely showed his feet and legs.","bulls, cattle, hoof, leg conformation, post-legged, semen catalogue",2015,Animals,,http://www.mdpi.com/2076-2615/5/3/0370,franks
Obesity and Polycystic Ovary Syndrome: Implications for Pathogenesis and Novel Management Strategies,"Polycystic ovary syndrome (PCOS) is a common female condition typified by reproductive, hyperandrogenic, and metabolic features. Polycystic ovary syndrome is a genetic condition, exacerbated by obesity. There is a close link between obesity and PCOS based on epidemiological data, and more recently corroborated through genetic studies. There are many mechanisms mediating the effects of weight-gain and obesity on the development of PCOS. The metabolic effects of insulin resistance and steroidogenic and reproductive effects of hyperinsulinaemia are important mechanisms. Adipokine production by subcutaneous and visceral fat appears to play a part in metabolic function. However, given the complexity of PCOS pathogenesis, it is important also to consider possible effects of PCOS on further weight-gain, or at least on hampering attempts at weight-loss and maintenance through lifestyle changes. Possible mediators of these effects include changes in energy expenditure, mental ill health, or physical inactivity. In this brief review, we discuss the main mechanisms that underlie the association between obesity and PCOS, from divergent perspectives of weight-gain contributing to development of PCOS and vice versa. We also consider novel management options for women with obesity and PCOS.",franks,2019,Clinical Medicine Insights: Reproductive Health,,https://doi.org/10.1177/1179558119874042,franks
Koi (Cyprinus rubrofuscus) Seek Out Tactile Interaction with Humans: General Patterns and Individual Differences,"The study of human–animal interactions has provided insights into the welfare of many species. To date, however, research has largely focused on human relationships with captive mammals, with relatively little exploration of interactions between humans and other vertebrates, despite non-mammals constituting the vast majority of animals currently living under human management. With this study, we aimed to address this gap in knowledge by investigating human–fish interactions at a community garden/aquaponics learning-center that is home to approximately 150 goldfish (Carassius auratus) and seven adult and two juvenile koi (Cyprinus rubrofuscus). After a habituation period (July–September 2019) during which time the fish were regularly provided with the opportunity to engage with the researcher’s submerged hand, but were not forced to interact with the researcher, we collected video data on 10 non-consecutive study days during the month of October. This procedure produced 18~20-min interaction sessions, 10 during T1 (when the experimenter first arrived and the fish had not been fed) and eight during T2 (20–30 min after the fish had been fed to satiation; two sessions of which were lost due equipment malfunction). Interactions between the researcher and the seven adult koi were coded from video based on location (within reach, on the periphery, or out of reach from the researcher) and instances of physical, tactile interaction. Analyses revealed that overall, koi spent more time than expected within reach of the researcher during both T1 (p p < 0.03). There were also substantial differences between individuals’ overall propensity for being within-reach and engaging in physical interaction. These results show that koi will voluntarily interact with humans and that individual koi display unique and consistent patterns of interaction. By providing quantitative data to support anecdotal claims that such relationships exist around the world, this research contributes to the ongoing discoveries highlighting the profound dissonance between how humans think about and treat fish and who fish actually are, thereby emphasizing the necessity of stronger moral and legal protections for fishes.","human–animal interaction, human–animal relationship, Cyprinus rubrofuscus, koi, carp, aquatic veterinary science",2021,Animals,,https://www.mdpi.com/2076-2615/11/3/706,franks
Modest effects of dietary supplements during the COVID-19 pandemic: insights from 445 850 users of the COVID-19 Symptom Study app,"Objectives Dietary supplements may ameliorate SARS-CoV-2 infection, although scientific evidence to support such a role is lacking. We investigated whether users of the COVID-19 Symptom Study app who regularly took dietary supplements were less likely to test positive for SARS-CoV-2 infection.Design App-based community survey.Setting 445 850 subscribers of an app that was launched to enable self-reported information related to SARS-CoV-2 infection for use in the general population in the UK (n=372 720), the USA (n=45 757) and Sweden (n=27 373).Main exposure Self-reported regular dietary supplement usage (constant use during previous 3 months) in the first waves of the pandemic up to 31 July 2020.Main outcome measures SARS-CoV-2 infection confirmed by viral RNA reverse transcriptase PCR test or serology test before 31 July 2020.Results In 372 720 UK participants (175 652 supplement users and 197 068 non-users), those taking probiotics, omega-3 fatty acids, multivitamins or vitamin D had a lower risk of SARS-CoV-2 infection by 14% (95% CI (8% to 19%)), 12% (95% CI (8% to 16%)), 13% (95% CI (10% to 16%)) and 9% (95% CI (6% to 12%)), respectively, after adjusting for potential confounders. No effect was observed for those taking vitamin C, zinc or garlic supplements. On stratification by sex, age and body mass index (BMI), the protective associations in individuals taking probiotics, omega-3 fatty acids, multivitamins and vitamin D were observed in females across all ages and BMI groups, but were not seen in men. The same overall pattern of association was observed in both the US and Swedish cohorts.Conclusion In women, we observed a modest but significant association between use of probiotics, omega-3 fatty acid, multivitamin or vitamin D supplements and lower risk of testing positive for SARS-CoV-2. We found no clear benefits for men nor any effect of vitamin C, garlic or zinc. Randomised controlled trials are required to confirm these observational findings before any therapeutic recommendations can be made.",franks,,"BMJ Nutrition, Prevention & Health",,https://nutrition.bmj.com/content/early/2021/04/20/bmjnph-2021-000250.full,franks
How enrichment affects exploration trade-offs in rats: implications for welfare and well-being.,"We propose that a comparative approach to well-being could be the key to understanding 'the good life.' Inspired by current theories of human well-being and animal welfare, we designed a novel test of exploration behavior. Environmentally and socially enriched Long-Evans female rats (N = 60) were trained in four simultaneously presented arms of an eight-arm radial-maze. They learned to expect successes in two arms and failures in the other two. After training, 20 animals remained in enriched housing (enrichment-maintenance) while 40 animals were re-housed in standard, isolated conditions (enrichment-removal). Two weeks later, all animals were re-tested in the maze, initially with access to the four familiar arms only. In the final minute, they also had access to the unfamiliar ambiguous-arms. Though both groups showed significant interest in the ambiguous-arms (P.3). Thus, we show not only that rats will abandon known rewards and incur risk in order to explore, indicating that exploration is valuable in its own right, but also that individuals with (vs. without) enriched housing conditions are more likely to engage in such exploratory behavior. This novel test contributes to the body of knowledge examining the importance of exploration in humans and other animals; implications for animal welfare and human well-being are discussed.",franks,2013,PLoS ONE,,http://europepmc.org/articles/PMC3871681?pdf=render,franks
Chemotherapy use and outcomes in patients with stage III or IV small-cell lung cancer in relation to age: An analysis of the English Systemic Anti-Cancer Treatment (SACT) dataset [version 1; peer review: 2 approved],"Background: We described patterns of chemotherapy use and outcomes in patients with advanced small-cell lung cancer (SCLC) in relation to age using the Systemic Anti-Cancer Treatment dataset. Method: In total, 7,966 patients SCLC (67.6% stage IV) diagnosed between 2014-17 in England, treated with chemotherapy were followed up through 2017. Patterns of chemotherapy use, 30- and 90- mortality rates, and 6- and 12-month and median overall survival (OS) from the initiation of chemotherapy were compared between those below and above the age of 75. Results: Older patients were 6-7 times less likely to receive curative treatment than younger patients regardless of stage. They had more frequent adjustments of treatment and dose reduction (stage III). There were no age differences in dose reduction in stage IV, treatment delayed or stopped earlier than planned. 30-day mortality rates were similar across age groups in stage III SCLC (~4%). Older patients had higher 90-days mortality rates and poorer OS than younger peers. In both stages, OS decreased around the age of 70-75 and were worse in patients with performance status scores ≥2. Conclusion: This study offers a snapshot of chemotherapy use and outcomes in advanced SCLC, notably in older patients, in the pre-immunotherapy era.","small cell lung cancer, chemotherapy, geriatric oncology, epidemiology, eng",2023,Open Research Europe,,https://open-research-europe.ec.europa.eu/articles/3-35/v1,franks
Investigating microbial activities of electrode-associated microorganisms in real-time,"Electrode-associated microbial biofilms are essential to the function of bioelectrochemical systems. These systems exist in a number of different configurations but all rely on electroactive microorganisms utilizing an electrode as either an electron acceptor or an electron donor to catalyze biological processes. Investigations of the structure and function of electrode-associated biofilms are critical to further the understanding of how microbial communities are able to reduce and oxidize electrodes. The community structure of electrode-reducing biofilms is diverse and often dominated by Geobacter spp. whereas electrode-oxidizing biofilms are often dominated by other microorganisms. The application of a wide range of tools, such as high-throughput sequencing and metagenomic data analyses, provide insight into the structure and possible function of microbial communities on electrode surfaces. However, the development and application of techniques that monitor gene expression profiles in real-time are required for a more definite spatial and temporal understanding of the diversity and biological activities of these dynamic communities. This mini-review summarizes the key gene expression techniques used in bioelectrochemical systems research, which have led to a better understanding of population dynamics, cell-cell communication and molecule-surface interactions in mixed and pure BES communities","Biofilms, Electrodes, Geobacter, Bioelectrochemical systems, Electricigens, real-time gene expression",2014,Frontiers in Microbiology,,http://journal.frontiersin.org/Journal/10.3389/fmicb.2014.00663/full,franks
Watchful waiting as a strategy to reduce low-value spinal imaging: study protocol for a randomized trial,"Abstract Background Patients with acute low back pain frequently request diagnostic imaging, and clinicians feel pressure to acquiesce to such requests to sustain patient trust and satisfaction. Spinal imaging in patients with acute low back pain poses risks from diagnostic evaluation of false-positive findings, patient labeling and anxiety, and unnecessary treatment (including spinal surgery). Watchful waiting advice has been an effective strategy to reduce some low-value treatments, and some evidence suggests a watchful waiting approach would be acceptable to many patients requesting diagnostic tests. Methods We will use key informant interviews of clinicians and focus groups with primary care patients to refine a theory-informed standardized patient-based intervention designed to teach clinicians how to advise watchful waiting when patients request low-value spinal imaging for low back pain. We will test the effectiveness of the intervention in a randomized clinical trial. We will recruit 8–10 primary care and urgent care clinics (~ 55 clinicians) in Sacramento, CA; clinicians will be randomized 1:1 to intervention and control groups. Over a 3- to 6-month period, clinicians in the intervention group will receive 3 visits with standardized patient instructors (SPIs) portraying patients with acute back pain; SPIs will instruct clinicians in a three-step model emphasizing establishing trust, empathic communication, and negotiation of a watchful waiting approach. Control physicians will receive no intervention. The primary outcome is the post-intervention rate of spinal imaging among actual patients with acute back pain seen by the clinicians adjusted for rate of imaging during a baseline period. Secondary outcomes are use of targeted communication techniques during a follow-up visit with an SP, clinician self-reported use of watchful waiting with actual low back pain patients, post-intervention rates of diagnostic imaging for other musculoskeletal pain syndromes (to test for generalization of intervention effects beyond back pain), and patient trust and satisfaction with physicians. Discussion This trial will determine whether standardized patient instructors can help clinicians develop skill in negotiating a watchful waiting approach with patients with acute low back pain, thereby reducing rates of low-value spinal imaging. The trial will also examine the possibility that intervention effects generalize to other diagnostic tests. Trial registration ClinicalTrials.gov NCT 04255199 . Registered on January 20, 2020","Back pain, Diagnostic testing, Patient-doctor communication, Primary care, Overuse, X-rays/roentgenography",2021,Trials,,https://doi.org/10.1186/s13063-021-05106-x,franks
Statistical modeling of biomedical corpora: mining the Caenorhabditis Genetic Center Bibliography for genes related to life span,"Abstract Background The statistical modeling of biomedical corpora could yield integrated, coarse-to-fine views of biological phenomena that complement discoveries made from analysis of molecular sequence and profiling data. Here, the potential of such modeling is demonstrated by examining the 5,225 free-text items in the Caenorhabditis Genetic Center (CGC) Bibliography using techniques from statistical information retrieval. Items in the CGC biomedical text corpus were modeled using the Latent Dirichlet Allocation (LDA) model. LDA is a hierarchical Bayesian model which represents a document as a random mixture over latent topics; each topic is characterized by a distribution over words. Results An LDA model estimated from CGC items had better predictive performance than two standard models (unigram and mixture of unigrams) trained using the same data. To illustrate the practical utility of LDA models of biomedical corpora, a trained CGC LDA model was used for a retrospective study of nematode genes known to be associated with life span modification. Corpus-, document-, and word-level LDA parameters were combined with terms from the Gene Ontology to enhance the explanatory value of the CGC LDA model, and to suggest additional candidates for age-related genes. A novel, pairwise document similarity measure based on the posterior distribution on the topic simplex was formulated and used to search the CGC database for ""homologs"" of a ""query"" document discussing the life span-modifying clk-2 gene. Inspection of these document homologs enabled and facilitated the production of hypotheses about the function and role of clk-2. Conclusion Like other graphical models for genetic, genomic and other types of biological data, LDA provides a method for extracting unanticipated insights and generating predictions amenable to subsequent experimental validation.",franks,2006,BMC Bioinformatics,,http://www.biomedcentral.com/1471-2105/7/250,franks
Įvairaus amžiaus krepšinio komandų žaidimo rezultatyvumo ir metimų įvairovės rodiklių analizė,"Komandų žaidimo turinį, pobūdį, rungtynių rezultatą dažniausiai lemia viena iš žaidimo fazių — puolimas. Puolimo, žaidžiant krepšinį, požymius, jų kaitą tyrė daugelis mokslininkų (Tocigl, 1973; Deltow et al., 1981; Dobry, Valens- ky, 1988; Jozwiak, Wagner, 1998; Neuman, 1999; Milanovič, 2000; Stonkus, 2002, 2003; Sampaio, Janeira, 2003; Hughes, Franks, 2004; Čižauskas, Kreivytė, 2007). Dauguma jų tyrė didelio meistriškumo krepšininkų puolimo veiksmingumą, ypatumus (Maksvytis, Stonkus, 2001; Stonkus, 2002). Pasigendama sisteminių įvairaus amžiaus krepšinio komandų puolimo per rungtynes tyrimų, todėl aktualu atsakyti į klausimą, kaip kinta įvairaus amžiaus (jaunučių, jaunių, jaunimo) krepšinio komandų pagrindiniai puolimo rodikliai rungtyniaujant. Tyrimas tikslas — nustatyti pagrindinius įvairaus amžiaus krepšinio komandų puolimo rodiklius, jų veiksmingumą ir kaitą per oﬁ cialias svarbiausias varžybas. Tyrimo uždaviniai: 1) nustatyti ir įvertinti įvairaus amžiaus komandų pel- nytų taškų skaičių per rungtynes ir atskirus kėlinius; 2) nustatyti metimų į krepšį kiekybinius (skaičius) ir kokybinius (veiksmingumą) rodiklius nuotolio požiūriu. Tyrimo metu naudoti šie metodai: 1) mokslinės literatūros ir oﬁ cialių dokumentų (rungtynių protokolų) sisteminė analizė; 2) pedagoginis stebėjimas vykdytas taikant specialią kompiuterinę programą „Kregis“. Tyrimo metu buvo analizuojami keturi Europos krepšinio čempionatai: jaunučių (2008 m.), jaunių (2008 m.), jaunimo (2008 m.), vyrų (2007 m.). Iš viso ištirta 48 rungtynių pagrindiniai puolimo rodikliai. Statistinių tyrimų duomenų analizė atlikta kompiuterinėmis SSPS 11.0 for Windows ir Microsoft Excel 2003 progra- momis. Buvo apskaičiuojami rodiklių aritmetiniai vidurkiai, standartinės vidurkio paklaidos ir procentinė išraiška. Vidurkių skirtumo patikimumas apskaičiuotas naudojant Studento t testą. Skirtumas su galima mažesne nei 0,05 paklaida buvo vertinamas kaip statistiškai patikimas (p < 0,05). Nustatyta, kad tirtų geriausių įvairaus amžiaus Europos komandų rezultatyvumo per rungtynes rodikliai su amžiumi tolydžiai didėja: jaunučių — x = 66,2, jaunių — x = 71,7, jaunimo — x = 82,3 taško per rungtynes. Geriausių vyrų rinktinių rezultatyvumo per vienerias rungtynes rodiklis ( x = 76,2 taško) žemesnis už šį ankstesnių metų rodiklį. Įvairaus amžiaus komandų rezultatyvumo per atskirus kėlinius dėsningumų nenustatyta. Metimų į krepšį skaičius iš artimų ir vidutinių nuotolių su amžiumi turi tendenciją mažėti: jaunučių tokie metimai sudaro 72,3%, jaunių — 69,1%, jaunimo — 62,1%, vyrų — 57,6%. Iš tolimų nuotolių didėja: jaunučių — 27,7%, jaunių — 30,9%, jaunimo — 37,9%, vyrų — 42,4%. Metimų iš artimų ir vidutinių nuotolių tikslumas su amžiumi gerėja: jaunučių — 38,1%, jaunių — 44,5%, jaunimo — 52,6%. Išanalizuoti puolimo rodikliai parodė, kad Lietuvos jaunučių ir jaunimo rinktinių rezultatyvumas per rungtynes didesnis nei tirtų Europos rinktinių (p < 0,05). Įvairaus amžiaus Lietuvos rinktinių rezultatyvumo per atskirus kėlinius rodiklių reikšmės skirtingos: jaunučių, jaunių ir vyrų rinktinė rezultatyviausiai žaidė per pirmą kėlinį, mažiausiai taškų surinko jaunučių rinktinė per trečią, jaunių — per ketvirtą, jaunimo — per antrą, vyrų — per ketvirtą. Lietuvos rinktinių metimų į krepšį iš įvairių nuotolių rodikliai iš esmės atitinka kitų Europos šalių rinktinių rodiklius. Visų amžiaus grupių Lietuvos rinktinės metimų iš artimų ir vidutinių nuotolių geresni tikslumo rodikliai už kitų Europos šalių rinktinių, tolimų metimų — blogesni. Raktažodžiai: kompiuterinė programa, rezultatyvumo rodikliai, rezultatyvumo rodiklių kaita.",franks,2018,Baltic Journal of Sport and Health Sciences,,https://journals.lsu.lt/baltic-journal-of-sport-health/article/view/452,franks
Machine Learning Inference of Gene Regulatory Networks in Developing Mimulus Seeds,"The angiosperm seed represents a critical evolutionary breakthrough that has been shown to propel the reproductive success and radiation of flowering plants. Seeds promote the rapid diversification of angiosperms by establishing postzygotic reproductive barriers, such as hybrid seed inviability. While prezygotic barriers to reproduction tend to be transient, postzygotic barriers are often permanent and therefore can play a pivotal role in facilitating speciation. This property of the angiosperm seed is exemplified in the Mimulus genus. In order to further the understanding of the gene regulatory mechanisms important in the Mimulus seed, we performed gene regulatory network (GRN) inference analysis by using time-series RNA-seq data from developing hybrid seeds from a viable cross between Mimulus guttatus and Mimulus pardalis. GRN inference has the capacity to identify active regulatory mechanisms in a sample and highlight genes of potential biological importance. In our case, GRN inference also provided the opportunity to uncover active regulatory relationships and generate a reference set of putative gene regulations. We deployed two GRN inference algorithms—RTP-STAR and KBoost—on three different subsets of our transcriptomic dataset. While the two algorithms yielded GRNs with different regulations and topologies when working with the same data subset, there was still significant overlap in the specific gene regulations they inferred, and they both identified potential novel regulatory mechanisms that warrant further investigation.","endosperm, embryo, hybrid seed inviability, seed development, postzygotic reproductive barriers, Mimulus erythranthe",2024,Plants,,https://www.mdpi.com/2223-7747/13/23/3297,franks
Credit achievement ability during distance learning era: the case of Statistics in Medicine course,"AIM In this study, the effects of the DL on academic career were investigated. BACKGROUND Distance Learning (DL) became mandatory in Italy from March 2020, due to COVID19 emergency. DESIGN The performances of students in Medical Statistics course of the Nursing degree in three campus of the University of Turin (Aosta, Beinasco and Cuneo) in the Academic Years 2019-2020 and 2020-2021 were considered. METHODS The study is based on 308 students, 48% of whom both attended the lessons and took the exams in DL. The effect of DL on student’s performance was evaluated using Logistic regression models and the results are showed in terms of odds ratios adjusted for gender, age and campus. RESULTS The results show that DL did not bring particular limitations to the students, highlighting on the contrary evident benefits in terms of organization and management of lessons and exams. Moreover, the level of students’ satisfaction at the end of the course increased in DL. CONCLUSION DL seems to do not affect the student’s ability on achieve credits, at least in mathematical subjects. More investigations are needed considering all courses’ types.",distance learning; academic success; Italy; medical education; comparative study,2021,Journal of Biomedical Practitioners,,https://www.ojs.unito.it/index.php/jbp/article/view/6376,alemanni
What Are Investors Afraid of? Finding the Big Bad Wolf,"The aim of financial institutions and regulators is to find an effective way to measure the risk profile of different segments of investors. Both economists and psychologists developed several methodologies to elicit and assess individual risk attitude, but these are not perfect and show several drawbacks when used in practice. Thanks to a unique database of around 15,000 investors, this paper combines survey-based evidence with revealed preferences based upon observed asset allocation. This paper confirms some results known in the literature like the gender and age differences in risk-taking. Moreover, the behavioral clustering approach used for the analysis is useful in an inferential framework. The segments built starting from the questionnaire permit to &#8220;forecast&#8221; the individual risk attitude that is described by the individual choices in terms of asset allocation. Loss aversion per se is a relevant variable in explaining financial risk-taking.","risk profile, behavioral finance, loss aversion, investors’ clustering, investors’ protection",2019,International Journal of Financial Studies,,https://www.mdpi.com/2227-7072/7/3/42,alemanni
Approaches to the Diagnosis of Portal Hypertension: Non-Invasive or Invasive Tests?,"Elton Dajti,1,2 Luigina Vanessa Alemanni,1,2 Giovanni Marasco,1,2 Marco Montagnani,1,2 Francesco Azzaroli1,2 1IRCCS Azienda Ospedaliero-Universitaria di Bologna, Bologna, Italy; 2Department of Medical and Surgical Sciences (DIMEC), University of Bologna, Bologna, ItalyCorrespondence: Francesco AzzaroliIRCCS Azienda Ospedaliero-Universitaria di Bologna, Bologna, ItalyEmail francesco.azzaroli@unibo.itAbstract: Portal hypertension is the main driver of complications in patients with advanced chronic liver disease (ACLD) and is defined by values of hepatic venous pressure gradient measurement (HVPG) &gt; 5 mmHg. Values of HVPG &ge; 10 mmHg determine the presence of clinically significant portal hypertension (CSPH), the main predictor of the risk of variceal bleeding, hepatic decompensation, and mortality. However, its measurement is invasive and requires high expertise, so its routine use outside third level centers or clinical trials is limited. In the last decades, several non-invasive tests (NITs) have been developed and validated for the diagnosis of portal hypertension. Among these, liver (LSM) and spleen stiffness measurement (SSM) are the most promising tools available, as they have been proven accurate to predict CSPH, high-risk esophageal varices, decompensation, and mortality in patients with ACLD. In the last Baveno VI Consensus proceedings, LSM evaluation was recommended for the first time for diagnosis of CSPH (LSM &gt; 20-25 kPa) and the screening of patients with a low probability of having high-risk varices (LSM &lt; 20 kPa and platelet count &gt; 150.000/mm3). In this review, we aimed to summarize the growing evidence supporting the use of non-invasive tests for the evaluation of portal hypertension in patients with chronic liver disease.Keywords: liver stiffness, spleen stiffness, portal hypertension, hepatic venous pressure gradient, liver cirrhosis","liver stiffness, spleen stiffness, portal hypertension, hepatic venous pressure gradient, liver cirrhosis.",2021,Hepatic Medicine: Evidence and Research,,https://www.dovepress.com/approaches-to-the-diagnosis-of-portal-hypertension-non-invasive-or-inv-peer-reviewed-article-HMER,alemanni
Hepatosplenic T-Cell Lymphoma Mimicking Acute Onset of Cholestatic Hepatitis in a Young Immunocompetent Man: A Case Report,"We herein report a case of hepatosplenic T-cell lymphoma (HSTCL) incidentally found in a 30-year-old man who came to the emergency department after an ankle trauma. At admission, laboratory tests revealed abnormal liver enzymes and pancytopenia, and imaging showed mild hepatosplenomegaly. During hospitalization, the patient’s clinical condition worsened rapidly, with a concomitant increase in cholestatic enzymes, severe jaundice, and the worsening of pancytopenia. Causes of liver injury, including many infectious diseases, were explored until the diagnosis of HSTCL was made by liver and bone marrow biopsies. Subsequently, the patient underwent six cycles of chemotherapy with a CHOP (cyclophosphamide, hydroxydaunorubicin, oncovin and prednisone or prednisolone) regimen and one with Hyper-CVAD (fractionated cyclophosphamide, vincristine, doxorubicin, dexamethasone) but, despite this aggressive treatment, died due to disease progression 2 months after diagnosis. This rare disease should be considered in the diagnostic workup of acute cholestatic hepatitis presenting with concomitant hepatosplenomegaly and cytopenia.","abnormal liver enzymes, liver injury, hepatosplenomegaly, acute cholestatic hepatitis, hepatosplenic T-cell lymphoma, HSTCL",2022,Gastroenterology Insights,,https://www.mdpi.com/2036-7422/13/3/26,alemanni
Anekdota of Procopius of Caesarea between History and Literature: Basileus vs Demon; Basilissa vs Hetaera,"The article analyzes the reception of the “Secret History” pamphlet written by Procopius of Caesarea, a 7 th century AD Byzantine historian, author of well-known panegyric texts about the Basileus Justinian. The manuscript of this pamphlet was found by an hellenophile Niccolo Alemanni and published in 1623 in Lyon as “Anekdota” (this literary work was first mentioned under this Greek title, meaning “unedited notes,” in “Suda,” a 10 th century AD Greek encyclopedic lexicon). 17 th century French historians and writers perceived “Secret History” as a unique attempt to see behind the curtain of byzantine history and to learn the true causes of great events. Antoine de Varillas, a famous historian, tried to create a “secret history” based on the history of the Medici Florence. The article argues that in the 17 th century, the meaning and pragmatics of this work by Procopius were understood in an incorrect way: the text of “Secret History” could have been created as an exercise in rhetoric, in which Procopius was showing his abilities not only as a writer of panegyrics but also as a master of “inverted” praise. To support this hypothesis, the article provides examples related to the descriptions of Justinian as a demon, tracing their origin to the characters from “The Testament of Solomon”, as well as pornographic scenes dealing with the basilissa’s follies that resemble rhetorically hypertrophied exempla from the oratory skills manuals (progymnasmata) by Hermogenes of Tarsus.","Byzantine Empire, France, Procopius of Caesarea, anecdote, history, “secret history”, rhetoric.",2018,Studia Litterarum,,http://studlit.ru/images/2018-3-4/Golubkov.pdf,alemanni
Non-Operating Room Anesthesia (NORA) for Ultrasound-Guided Liver Radiofrequency Ablation,"Introduction: Percutaneous ultrasound-guided radiofrequency ablation (RFA) is a well-studied treatment option for locally non-advanced hepatocellular carcinoma (HCC) and colorectal liver metastases (CRLMs). Sedation is of crucial interest as it enables safe and pain-free procedures. Whether the type of sedation has an impact on procedural outcome is still not well investigated. Methods: We retrospectively collected data on patients undergoing liver RFA for various oncological conditions. Procedures were conducted in a non-operating room anesthesia (NORA) setting. Procedural-related complications and short-term oncological outcomes were analyzed. Results: Thirty-five patients (mean age 71.5 y, 80% male) were treated for HCC (26), CRLM (6) and gastric cancer metastases (3). Mean lesion size was 21 mm (SD ± 10.1 mm), and the most common tumor localization was the right hepatic lobe. RFA was performed in a step-up sedation approach, with subcutaneous lidocaine injection prior to needle placement and subsequent deep sedation during ablation. No anesthesia-related early or late complications occurred. One patient presented with pleural effusion due to a large ablation zone and was treated conservatively. Local tumor-free survival after 1 and 6 months was 100% in all cases where a curative RFA approach was intended. Conclusions: NORA for liver RFA comes with high patient acceptance and tolerance, and optimal postoperative outcomes and oncologic results.","non-operating room anesthesia (NORA), deep sedation, percutaneous liver radiofrequency ablation, hepatocellular carcinoma",2024,Diagnostics,,https://www.mdpi.com/2075-4418/14/16/1783,alemanni
