title,authors,publisher,publishedDate,description,pageCount,categories,language,isbn,source_query
The Fall of Rome And the End of Civilization,Bryan Ward-Perkins,OUP Oxford,2006-07-12,"Why did Rome fall? Vicious barbarian invasions during the fifth century resulted in the cataclysmic end of the world's most powerful civilization, and a 'dark age' for its conquered peoples. Or did it? The dominant view of this period today is that the 'fall of Rome' was a largely peaceful transition to Germanic rule, and the start of a positive cultural transformation. Bryan Ward-Perkins encourages every reader to think again by reclaiming the drama and violence of the last days of the Roman world, and reminding us of the very real horrors of barbarian occupation. Attacking new sources with relish and making use of a range of contemporary archaeological evidence, he looks at both the wider explanations for the disintegration of the Roman world and also the consequences for the lives of everyday Romans, in a world of economic collapse, marauding barbarians, and the rise of a new religious orthodoxy. He also looks at how and why successive generations have understood this period differently, and why the story is still so significant today.",358,History,en,9780191622366,fall of rome
Decline and Fall of the Roman Empire,Edward Gibbon,Createspace Independent Publishing Platform,2017-08-14,"The History of the Decline and Fall of the Roman Empire was written by English historian Edward Gibbon and published in six volumes, covering the period of the Roman Empire after Marcus Aurelius, from 180 to 1453, concluding in 1590. They take as their material the behavior and decisions that led to the decay and eventual fall of the Roman Empire in the East and West, offering an explanation for why the Roman Empire fell. This work stands as a major literary achievement of the 18th century because it was adopted as a model for the methodologies of modern historians. This led to Gibbon being called the first modern historian of Ancient Rome. (source: Wikipedia)",532,,en,1974516466,fall of rome
Decline and Fall of the Roman Empire,Edward Gibbon,Createspace Independent Publishing Platform,2018-09-06,"In the final volume of Gibbon's history we cover the The Crusades; Partition of the Empire by the French and Venetians; Greek Emperors of Nice and Constantinople; CIVIL Wars and the Ruin of the Greek Empire; Moguls, Ottoman Turks; Elevation of Timour or Tamerlane, and His Death; Union of the Greek and Latin Churches; Schism of the Greeks and Latins; Reign of Mahomet the Second, Extinction of Eastern Empire; State of Rome From the Twelfth Century; Final Settlement of the Ecclesiastical State; Prospect of the Ruins of Rome in the Fifteenth Century. They take as their material the behavior and decisions that led to the decay and eventual fall of the Roman Empire in the East and West, offering an explanation for why the Roman Empire fell. This work stands as a major literary achievement of the 18th century because it was adopted as a model for the methodologies of modern historians. This led to Gibbon being called the first modern historian of Ancient Rome.",580,,en,1727096061,fall of rome
The Decline and Fall of the Roman Empire; Volume 1,Edward Gibbon,Franklin Classics Trade Press,2018-10-21,"This work has been selected by scholars as being culturally important and is part of the knowledge base of civilization as we know it. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. To ensure a quality reading experience, this work has been proofread and republished using a format that seamlessly blends the original graphical elements with text in an easy-to-read typeface. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",662,,en,0343898233,fall of rome
History of the Decline and Fall of the Roman Empire Vol 3,Edward Gibbon,Simon and Schuster,2013-01-18,"Gibbon offers an explanation for why the Roman Empire fell, a task made difficult by a lack of comprehensive written sources, though he was not the only historian to tackle the subject. Most of his ideas are directly taken from what few relevant records were available: those of the Roman moralists of the 4th and 5th centuries.",492,History,en,9781625584175,fall of rome
"The History of the Decline and Fall of the Roman Empire, Volume 1","Edward Gibbon, Henry Hart Milman",Arkose Press,2015-10-21,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",660,,en,1345057695,fall of rome
The History of the Decline and Fall of the Roman Empire... Volume 1,Edward Gibbon,Hardpress Publishing,2013-12,"Unlike some other reproductions of classic texts (1) We have not used OCR(Optical Character Recognition), as this leads to bad quality books with introduced typos. (2) In books where there are images such as portraits, maps, sketches etc We have endeavoured to keep the quality of these images, so they represent accurately the original artefact. Although occasionally there may be certain imperfections with these old texts, we feel they deserve to be made available for future generations to enjoy.",728,,en,1314881515,fall of rome
The History of the Decline and Fall of the Roman Empire Volume 3,Edward Gibbon,Createspace Independent Publishing Platform,2018-07-04,"Rare edition with unique illustrations. In this third of volume, readers will discover the rules of Jovian, Valentinian, Valens, Gratian, Theodosius, Arcadius, Honorius, Eutropius, and Valentinian III; wars in Germany, Britain, Africa, and Persia; the Gothic War in 376; the conversion of Rome; the revolt of the Goths; the numerous sackings of Rome by the Goths and Charles V; revolutions in Gaul and Spain; the life of Saint John Chrysostom; the life of Empress Eudocia; the progress of the Vandals in Africa; and the invasion of the Roman Empire by Attila the Hun. Edward Gibbon's Decline and Fall of the Roman Empire compresses thirteen turbulent centuries into an epic narrative shot through with insight, irony and incisive character analysis. Sceptical about Christianity, sympathetic to the barbarian invaders and the Byzantine Empire, constantly aware of how political leaders often achieve the exact opposite of what they intend.",412,,en,1722307579,fall of rome
Ancient Rome,William E. Dunstan,Bloomsbury Publishing PLC,2010-11-16,"Ancient Rome masterfully synthesizes the vast period from the second millennium BCE to the sixth century CE, carrying readers through the succession of fateful steps and agonizing crises that marked Roman evolution from an early village settlement to the capital of an extraordinary realm extending from northern Britain to the deserts of Arabia. A host of world-famous figures come to life in these pages, including Alexander the Great, Hannibal, Julius Caesar, Cleopatra, Augustus, Livia, Cicero, Nero, Hadrian, Diocletian, Constantine, Justinian, and Theodora. Filled with chilling narratives of violence, lust, and political expediency, this book not only describes empire-shaping political and military events but also treats social and cultural developments as integral to Roman history. William E. Dunstan highlights such key topics as the physical environment, women, law, the roles of slaves and freedmen, the plight of unprivileged free people, the composition and power of the ruling class, education, popular entertainment, food and clothing, marriage and divorce, sex, death and burial, finance and trade, scientific and medical achievements, religious institutions and practices, and artistic and literary masterpieces. All readers interested in the classical world will find this a fascinating and compelling history.",634,History,en,9780742568341,sack of rome 410
The Sack of Rome by the Visigoths in 410 A.D. The History of the Event That Marked the Final Decline of the Western Roman Empire,Charles River Charles River Editors,CreateSpace,2014-12-20,"*Includes pictures *Includes ancient accounts describing the sack *Includes a bibliography for further reading *Includes a table of contents ""The City which had taken the whole world was itself taken."" - St. Jerome For the people of the ancient Mediterranean and beyond, the city of Rome had been a symbol of power for centuries, and entering the early 5th century A.D., the Eternal City hadn't been taken by an enemy force since the Gauls had done it about 800 years, an unheard of period of tranquility in a world wracked with almost constant warfare. Thus, when the Visigoths, who the Romans considered uncultured and inferior, took the city of Rome and sacked it in 410, the world was stunned. It made theologians of the newly Christianized empire question God's plan on Earth, and it encouraged many leading Romans to look east to Constantinople for their future. Indeed, the Western Roman Empire would completely collapse in the late 5th century, less than 70 years after the Visigoths sacked Rome, and just how it went from being a superpower to a poorly led, weak, and vulnerable shadow of its former self has preoccupied historians for centuries. To this day, it remains difficult to trace just when the decline began, but it's fair to say that the sack of Rome was the result of a number of factors that had been coalescing for many years. Only Roman arrogance kept the empire from seeing the grave peril its capital was in, which helped bring about the events leading up to that fateful day, but either way, the sack of Rome had world-changing ramifications. The Sack of Rome by the Visigoths in 410 A.D. analyzes the history and legacy of the most famous sack of the Eternal City. Along with pictures depicting important people, places, and events, you will learn about the 410 Sack of Rome like never before, in no time at all.",46,,en,1505658225,sack of rome 410
The Eternal City A Chronicle of Roman History,Asif Ahmed Srabon,BookRix,2023-08-20,"""The Eternal City: A Chronicle of Roman History"" by Asif Ahmed Srabon is a captivating journey through the rise and fall of one of the most iconic civilizations in human history. This meticulously researched book takes readers on a vivid exploration of the Roman Empire, from its legendary founding to its eventual decline. With a keen eye for detail and a passion for storytelling, Srabon brings to life the remarkable events, legendary figures, and enduring legacies that shaped the Eternal City and its empire. Whether you're a history enthusiast or a casual reader, this book offers a compelling narrative that unveils the rich tapestry of Roman history, making it an essential addition to any history lover's bookshelf.",39,History,en,9783755450382,sack of rome 410
"The Sack of Rome, 410 A.D.",,,,"While Roman elites viewed the sack of Rome as a turning point that changed the world forever, the event itself lasted only three days and served more as a catalyst for change than a cataclysm in its own right. In this lecture, you'll find out why the sack was so monumental, and how it inspired Augustine to write The City of God.",,Literature,en,,sack of rome 410
Peoples of the Roman World,Mary T. Boatwright,Cambridge University Press,2012-02-13,"In this highly-illustrated book, Mary T. Boatwright examines five of the peoples incorporated into the Roman world from the Republican through the Imperial periods: northerners, Greeks, Egyptians, Jews, and Christians. She explores over time the tension between assimilation and distinctiveness in the Roman world, as well as the changes effected in Rome by its multicultural nature. Underlining the fundamental importance of diversity in Rome's self-identity, the book explores Roman tolerance of difference and community as the Romans expanded and consolidated their power and incorporated other peoples into their empire. The Peoples of the Roman World provides an accessible account of Rome's social, cultural, religious, and political history, exploring the rich literary, documentary, and visual evidence for these peoples and Rome's reactions to them.",267,History,en,9780521840620,sack of rome 410
The Plight of Rome in the Fifth Century AD,Mark Merrony,Routledge,2017-07-06,"The Plight of Rome in the Fifth Century AD argues that the fall of the western Roman Empire was rooted in a significant drop in war booty, agricultural productivity, and mineral resources. Merrony proposes that a dependency on the three economic components was established with the Principate, when a precedent was set for an unsustainable threshold on military spending. Drawing on literary and archaeological data, this volume establishes a correspondence between booty (in the form of slaves and precious metals) from foreign campaigns and public building programmes, and how this equilibrium was upset after the Empire reached its full expansion and began to contract in the third century. It is contended that this trend was exacerbated by the systematic loss of agricultural productivity (principally grain, but also livestock), as successive barbarian tribes were settled and wrested control from the imperial authorities in the fifth century. Merrony explores how Rome was weakened and divided, unable to pay its army, feed its people, or support the imperial bureaucracy – and how this contributed to its administrative collapse.",257,History,en,9781351702782,sack of rome 455
"Huns, Vandals, and the Fall of the Roman Empire",Thomas Hodgkin,,1996,"This work explores Attila's rise and rule over the Huns in the 440s, when Vandals, Ostrogoths, Gepids and Franks were also fighting under his banner.",694,History,en,,sack of rome 455
Lives of the Saints From Mary and St. Francis of Assisi to John XXIII and Mother Teresa,Richard P. McBrien,HarperCollins,2015-12-15,"This pocket edition of Richard McBrien's Lives of the Saints is the perfect concise, handy reference for scholars, students, and general readers.",401,History,en,9780062467805,sack of rome 455
Lives of The Popes- Reissue The Pontiffs from St. Peter to Benedict XVI,Richard P. McBrien,Harper Collins,2013-04-16,"This captivating history, updated to include the passing of John Paul II and the election of Benedict XVI, provides a complete portrait of the papacy. Written by one of the leading scholars in the field, Lives of the Popes tells the stories of the great variety of men who have occupied the throne of St. Peter over the course of nearly two thousand years: warriors and peacemakers, saints and scoundrels, politicians and pastors, and reformers and nepotists alike. Lives of the Popes features fascinating profiles of all 263 Popes; essays on the papal election process and its future; timelines of papal, ecclesiastical, and secular persons and events; and ratings of all the Popes, from best to worst. Detailed, comprehensive, and highly accessible, Lives of the Popes captures the remarkable story of the papacy and how it transformed Christianity and the world. Richard P. McBrien, bestselling author of Catholicism and general editor of the HarperCollins Encyclopedia of Catholicism, is a leading TV, radio, and newspaper commentator on the Catholic Church. He is the Crowley-O’Brien-Walter Professor of Theology at the University of Notre Dame. “An invaluable reference guide brimming with solid historical data as well as pontifical fun facts.”–Booklist",530,History,en,9780062288349,sack of rome 455
"An Encyclopedia of Battles Accounts of Over 1,560 Battles from 1479 B.C. to the Present",David Eggenberger,Courier Corporation,2012-03-08,"""A badly needed addition to public and military libraries and to the shelves of every military writer … a definitive job."" — Army Times Megiddo, Thermopylae, Waterloo, Stalingrad, Vietnam … nothing has dominated man's attention, challenged his energy, produced more heroes — and destruction — than war. This monumental one-volume work traces the long history of that uniquely human activity in vivid, accurate accounts of over 1,500 crucial military conflicts, Spanning more than 3,400 years, it encompasses a panorama of warfare so complete that no single volume like it exists. All the essential details of every major battle in recorded history on land and at sea — from the first battle of Megiddo in 1479 B. C. to Grenada in 1984 — are covered. For added convenience, this work lists the engagements in alphabetical order, from ""Aachen,"" the first entry, to ""Zutphen,"" the last. You'll find painstakingly researched, objectively written descriptions of the Persia-Greek conflicts of the fifth century B. C., Roman Empire wars, Napoleonic Wars, the American Civil War, World Wars I and II, and many more. Also included are penetrating analyses of the roles played by commanders of genius — Alexander, Julius Caesar, Hannibal, Napoleon, Genghis Khan, Tamerlane, Khalid ibn al-Walid, and other momentous figures. Updating this already comprehensive resource, a new Appendix deals with more recent conflicts: the Vietnam War, the Yom Kippur War, the Soviet occupation of Afghanistan, the Iran-Iraq War, the Falkland Islands clash, the Israeli invasion of Lebanon, and the U. S. invasion of Grenada. Each entry includes states, strategic situations, military leaders, troop numbers, tactics, casualties and military/political consequences of the battles. In addition, you'll find cross references at the end of each entry, 99 battle maps and a comprehensive index containing titles and alliances and treaties, famous quotations, slogans, catch phrases … even battle cries. An Encyclopedia of Battles is an entire library of military history in one convenient space-saving volume. Students, historians, writers, military buffs … anyone interested in the subject will find this inexpensive paperbound edition an indispensable reference and a fascinating study of the world's military past.",546,History,en,9780486142012,battle of chalons
"The Battle of Vouillé, 507 CE Where France Began","Ralph W. Mathisen, Danuta Shanzer",Walter de Gruyter,2012-07-04,"This volume highlights the heretofore largely neglected Battle of Vouillé in 507 CE, when the Frankish King Clovis defeated Alaric II, the King of the Visigoths. Clovis’ victory proved a crucial step in the expulsion of the Visigoths from Francia into Spain, thereby leaving Gaul largely to the Franks. It was arguably in the wake of Vouillé that Gaul became Francia, and that “France began.” The editors have united an international team of experts on Late Antiquity and the Merovingian Kingdoms to reexamine the battle from multiple as well as interdisciplinary perspectives. The contributions address questions of military strategy, geographical location, archaeological footprint, political background, religious propaganda, consequences (both in Francia and in Italy), and significance. There is a strong focus on the close reading of primary source-material, both textual and material, secular and theological.",240,History,en,9781614510994,battle of chalons
A Guide to Battles Decisive Conflicts in History,"Richard Holmes, Martin Marix Evans",OUP Oxford,2006-09-14,"This fascinating book tells the stories of the most dramatic, memorable, and important conflicts in world history, from Agincourt, Lepanto, and Trafalgar, to Gettysburg, Stalingrad, and the Somme. It begins with the battle of Megiddo fought by the ancient Egyptians and takes the reader through to the Second Gulf War of 2003. On the way it encompasses almost 300 battles from around the world - from the Middle East, Asia, and Africa, to Europe and the Americas.",701,Reference,en,9780191501173,battle of chalons
The Fifteen Decisive Battles of the World: from Marathon to Waterloo Enriched edition. Strategic Victories: A Detailed Analysis of Historical Battles and Warfare Tactics,Edward Shepherd Sir Creasy,Good Press,2019-11-21,"In ""The Fifteen Decisive Battles of the World: from Marathon to Waterloo,"" Edward Shepherd Sir Creasy meticulously explores pivotal moments in military history, illuminating how specific battles have shaped the trajectory of civilizations. Written in an engaging narrative style characteristic of the mid-19th century, Creasy blends rigorous historical analysis with vivid storytelling, capturing not only the strategies employed and their outcomes but also the broader socio-political contexts surrounding each conflict. Each chapter serves as both an in-depth examination of the decisive battles'—from the ancient clash at Marathon to the revolutionizing encounter at Waterloo'—and an exploration of their implications for world history. Creasy, a historian and legal scholar with a keen interest in military strategy, was influenced by the tumultuous events of his time, including the rise of nationalism and the implications of war on global politics. His professional background coupled with his passion for historical military narratives allowed him to undertake a comprehensive study that reflects a contemporary understanding of warfare while remaining accessible to a lay audience. This dual perspective provides readers with insights into not just the battles themselves, but the ever-evolving fabric of history. ""The Fifteen Decisive Battles of the World"" is a must-read for history enthusiasts, military strategists, and anyone intrigued by the interconnectedness of war and human development. Creasy's well-researched account brings to life the crucial moments that altered the course of nations, allowing readers to appreciate the monumental impact of these battles on world events. In this enriched edition, we have carefully created added value for your reading experience: - A succinct Introduction situates the work's timeless appeal and themes. - The Synopsis outlines the central plot, highlighting key developments without spoiling critical twists. - A detailed Historical Context immerses you in the era's events and influences that shaped the writing. - A thorough Analysis dissects symbols, motifs, and character arcs to unearth underlying meanings. - Reflection questions prompt you to engage personally with the work's messages, connecting them to modern life. - Hand‐picked Memorable Quotes shine a spotlight on moments of literary brilliance. - Interactive footnotes clarify unusual references, historical allusions, and archaic phrases for an effortless, more informed read.",497,History,en,,battle of chalons
"The Huns, Rome and the Birth of Europe",Hyun Jin Kim,Cambridge University Press,2013-04-18,"The Huns have often been treated as primitive barbarians with no advanced political organisation. Their place of origin was the so-called 'backward steppe'. It has been argued that whatever political organisation they achieved they owed to the 'civilizing influence' of the Germanic peoples they encountered as they moved west. This book argues that the steppes of Inner Asia were far from 'backward' and that the image of the primitive Huns is vastly misleading. They already possessed a highly sophisticated political culture while still in Inner Asia and, far from being passive recipients of advanced culture from the West, they passed on important elements of Central Eurasian culture to early medieval Europe, which they helped create. Their expansion also marked the beginning of a millennium of virtual monopoly of world power by empires originating in the steppes of Inner Asia. The rise of the Hunnic Empire was truly a geopolitical revolution.",347,History,en,9781107067226,battle of chalons
The Huns,Hyun Jin Kim,Routledge,2015-11-19,"This volume is a concise introduction to the history and culture of the Huns. This ancient people had a famous reputation in Eurasian Late Antiquity. However, their history has often been evaluated as a footnote in the histories of the later Roman Empire and early Germanic peoples. Kim addresses this imbalance and challenges the commonly held assumption that the Huns were a savage people who contributed little to world history, examining striking geopolitical changes brought about by the Hunnic expansion over much of continental Eurasia and revealing the Huns' contribution to European, Iranian, Chinese and Indian civilization and statecraft. By examining Hunnic culture as a Eurasian whole, The Huns provides a full picture of their society which demonstrates that this was a complex group with a wide variety of ethnic and linguistic identities. Making available critical information from both primary and secondary sources regarding the Huns' Inner Asian origins, which would otherwise be largely unavailable to most English speaking students and Classical scholars, this is a crucial tool for those interested in the study of Eurasian Late Antiquity.",204,History,en,9781317340904,battle of chalons
World Battles and Their Leaders Who Changed Global History,Walter J. Whittemore,iUniverse,2008,"""A quick reference in world history for junior, senior, and, if necessary for college students.""--Page v.",266,History,en,9781440106736,battle of chalons
"Theoderic the Great King of Goths, Ruler of Romans",Hans-Ulrich Wiemer,Yale University Press,2023-07-25,"The first full-scale history of Theoderic and the Goths in more than seventy-five years, tracing the transformation of a divided kingdom into a great power In the year 493, the leader of a vast confederation of Gothic warriors, their wives, and children personally cut down Odoacer, the man famous for deposing the last Roman emperor in 476. That leader became Theoderic the Great (454–526). This engaging history of his life and reign immerses readers in the world of the warrior-king who ushered in decades of peace and stability in Italy as king of Goths and Romans. Theoderic transformed his roving “warrior nation” from the periphery of the Roman world into a standing army that protected his taxpaying Roman subjects with the support of the Roman elite. With a ruling strategy of “integration through separation,” Theoderic not only stabilized Italy but also extended his kingdom to the western Balkans, southern France, and the Iberian Peninsula. Using sources as diverse as letters, poetry, coins, and mosaics, Hans-Ulrich Wiemer brings readers into the world of Theoderic’s court, from Gothic warriors and their families to the notables, artisans, and shopkeepers of Rome and Ravenna to the peasants and enslaved people who tilled the soil on grand rural estates. This book offers a fascinating history of the leader who brought peace to Italy after the disintegration of the Roman Empire.",660,Biography & Autobiography,en,9780300271850,theoderic
Theoderic Imitation of an Emperor,Ross Laidlaw,Birlinn,2011-08-12,"'While the army of the Goths makes war, the Romans may live in peace.' AD 468. With the last Roman emperor of the West deposed, the Empire is in ruins - a plaything for the barbarian armies that rampage across it. This extraordinary story spans Europe, from the intrigues of Constantinople to the battlefields of the future France, North Africa and the Balkans, tracing the rise of Theoderic the Goth to a pinnacle of power and wealth.",377,History,en,9780857900722,theoderic
Theoderic and the Roman Imperial Restoration,Jonathan J. Arnold,Cambridge University Press,2014-02-24,"Theoderic and the Roman Imperial Restoration offers a new interpretation of the fall of Rome and the ""barbarian"" successor state known as Ostrogothic Italy. Relying primarily on Italian textual and material evidence, Jonathan J. Arnold demonstrates that the subjects of the Ostrogothic kingdom viewed it as a revived Roman Empire and its king, Theoderic, as its emperor. Most accounts of Roman history end with the fall of Rome in 476 or see the Ostrogothic kingdom as a barbarous imitator. This book, however, challenges such views, placing the Theoderican epoch firmly within the continuum of Roman history.",353,Biography & Autobiography,en,9781107054400,theoderic
Law and Society in the Age of Theoderic the Great A Study of the Edictum Theoderici,Sean D. W. Lafferty,Cambridge University Press,2013-07-25,"Provides new insights into Rome's collapse, challenging long-held assumptions that Theoderic's reign was a golden age for Italy.",343,Biography & Autobiography,en,9781107028340,theoderic
Theoderic in Italy,John Moorhead,,1992,"The career of Theoderic the Ostrogoth is one of the great success stories of antiquity. From being a ruler of a barbarian people wandering around the Balkans, he became king in Italy (493-526) and established one of the most powerful of the post-Roman states. Due to its ample documentation, the Italy of Theoderic allows detailed examination of a period on the frontiers of ancient and medieval, Roman and barbarian. And due to his success in attracting the attention of some of the major literary figures of the time, new light is cast on Boethius, Cassiodorus, and Ennodius when they are considered in the context of their connections with the government. Yet Theoderic's reign, so praised by contemporaries, ended amid tension and discord. In this study, Moorhead considers whether the principles with which he governed brought about the impermanence of his achievement.",320,Biography & Autobiography,en,,theoderic
